Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,22,2,2.80
Linear,core,22,4,2.82
Linear,core,22,8,2.81
Linear,core,22,16,3.01
Linear,core,22,32,3.08
Linear,core,22,64,3.09
Linear,core,22,128,4.04
Linear,core,22,256,4.33
Linear,core,22,512,4.35
Linear,core,22,1024,5.42
Linear,core,22,2048,6.78
Linear,core,22,4096,9.45
Linear,core,22,8192,13.25
Linear,core,22,16384,14.58
Linear,core,22,32768,25.02
Linear,core,22,65536,45.55
Linear,core,22,131072,98.63
Linear,core,22,262144,192.58
Linear,core,22,524288,385.06
Linear,core,22,1048576,750.49
Linear,core,24,1,2.90
Linear,core,24,2,2.89
Linear,core,24,4,2.90
Linear,core,24,8,2.88
Linear,core,24,16,3.01
Linear,core,24,32,3.12
Linear,core,24,64,3.28
Linear,core,24,128,4.20
Linear,core,24,256,4.45
Linear,core,24,512,4.48
Linear,core,24,1024,5.56
Linear,core,24,2048,7.07
Linear,core,24,4096,10.01
Linear,core,24,8192,14.19
Linear,core,24,16384,15.73
Linear,core,24,32768,26.59
Linear,core,24,65536,48.28
Linear,core,24,131072,110.29
Linear,core,24,262144,217.11
Linear,core,24,524288,433.19
Linear,core,24,1048576,851.28
Linear,socket,2,1,0.35
Linear,socket,2,2,0.36
Linear,socket,2,4,0.35
Linear,socket,2,8,0.36
Linear,socket,2,16,0.35
Linear,socket,2,32,0.51
Linear,socket,2,64,0.46
Linear,socket,2,128,1.01
Linear,socket,2,256,1.00
Linear,socket,2,512,1.11
Linear,socket,2,1024,1.18
Linear,socket,2,2048,1.69
Linear,socket,2,4096,2.36
Linear,socket,2,8192,3.64
Linear,socket,2,16384,3.69
Linear,socket,2,32768,5.90
Linear,socket,2,65536,7.31
Linear,socket,2,131072,10.71
Linear,socket,2,262144,16.27
Linear,socket,2,524288,28.93
Linear,socket,2,1048576,59.99
Linear,socket,4,1,0.32
Linear,socket,4,2,0.33
Linear,socket,4,4,0.32
Linear,socket,4,8,0.31
Linear,socket,4,16,0.34
Linear,socket,4,32,0.59
Linear,socket,4,64,0.56
Linear,socket,4,128,1.02
Linear,socket,4,256,1.07
Linear,socket,4,512,1.27
Linear,socket,4,1024,1.56
Linear,socket,4,2048,2.34
Linear,socket,4,4096,3.55
Linear,socket,4,8192,5.70
Linear,socket,4,16384,9.25
Linear,socket,4,32768,14.15
Linear,socket,4,65536,22.42
Linear,socket,4,131072,39.98
Linear,socket,4,262144,75.78
Linear,socket,4,524288,151.39
Linear,socket,4,1048576,303.57
Linear,socket,6,1,0.61
Linear,socket,6,2,0.61
Linear,socket,6,4,0.61
Linear,socket,6,8,0.61
Linear,socket,6,16,0.61
Linear,socket,6,32,0.69
Linear,socket,6,64,0.70
Linear,socket,6,128,1.57
Linear,socket,6,256,1.66
Linear,socket,6,512,1.83
Linear,socket,6,1024,2.33
Linear,socket,6,2048,3.35
Linear,socket,6,4096,4.96
Linear,socket,6,8192,7.64
Linear,socket,6,16384,10.78
Linear,socket,6,32768,17.68
Linear,socket,6,65536,33.15
Linear,socket,6,131072,65.29
Linear,socket,6,262144,126.58
Linear,socket,6,524288,263.38
Linear,socket,6,1048576,460.61
Linear,socket,8,1,1.16
Linear,socket,8,2,1.15
Linear,socket,8,4,1.17
Linear,socket,8,8,1.14
Linear,socket,8,16,1.17
Linear,socket,8,32,1.29
Linear,socket,8,64,1.30
Linear,socket,8,128,2.48
Linear,socket,8,256,2.52
Linear,socket,8,512,2.69
Linear,socket,8,1024,3.57
Linear,socket,8,2048,4.88
Linear,socket,8,4096,6.58
Linear,socket,8,8192,10.18
Linear,socket,8,16384,13.74
Linear,socket,8,32768,23.21
Linear,socket,8,65536,44.88
Linear,socket,8,131072,91.06
Linear,socket,8,262144,181.93
Linear,socket,8,524288,367.08
Linear,socket,8,1048576,551.33
Linear,socket,12,1,1.43
Linear,socket,12,2,1.45
Linear,socket,12,4,1.44
Linear,socket,12,8,1.45
Linear,socket,12,16,1.45
Linear,socket,12,32,1.65
Linear,socket,12,64,1.57
Linear,socket,12,128,3.26
Linear,socket,12,256,3.46
Linear,socket,12,512,3.61
Linear,socket,12,1024,5.15
Linear,socket,12,2048,6.49
Linear,socket,12,4096,9.06
Linear,socket,12,8192,13.72
Linear,socket,12,16384,17.97
Linear,socket,12,32768,31.53
Linear,socket,12,65536,64.58
Linear,socket,12,131072,132.81
Linear,socket,12,262144,221.43
Linear,socket,12,524288,418.91
Linear,socket,12,1048576,816.96
Linear,socket,14,1,1.42
Linear,socket,14,2,1.30
Linear,socket,14,4,1.28
Linear,socket,14,8,1.29
Linear,socket,14,16,1.29
Linear,socket,14,32,1.51
Linear,socket,14,64,1.68
Linear,socket,14,128,3.39
Linear,socket,14,256,3.46
Linear,socket,14,512,3.76
Linear,socket,14,1024,5.37
Linear,socket,14,2048,6.94
Linear,socket,14,4096,9.92
Linear,socket,14,8192,15.06
Linear,socket,14,16384,16.44
Linear,socket,14,32768,29.26
Linear,socket,14,65536,57.92
Linear,socket,14,131072,116.71
Linear,socket,14,262144,207.57
Linear,socket,14,524288,393.59
Linear,socket,14,1048576,786.05
Linear,socket,16,1,2.32
Linear,socket,16,2,2.12
Linear,socket,16,4,2.12
Linear,socket,16,8,2.11
Linear,socket,16,16,2.12
Linear,socket,16,32,2.39
Linear,socket,16,64,2.66
Linear,socket,16,128,4.49
Linear,socket,16,256,4.64
Linear,socket,16,512,4.93
Linear,socket,16,1024,6.51
Linear,socket,16,2048,8.36
Linear,socket,16,4096,11.70
Linear,socket,16,8192,17.76
Linear,socket,16,16384,16.68
Linear,socket,16,32768,28.73
Linear,socket,16,65536,54.72
Linear,socket,16,131072,107.06
Linear,socket,16,262144,188.85
Linear,socket,16,524288,380.69
Linear,socket,16,1048576,740.29
Linear,socket,18,1,3.80
Linear,socket,18,2,3.74
Linear,socket,18,4,3.70
Linear,socket,18,8,3.72
Linear,socket,18,16,3.85
Linear,socket,18,32,3.98
Linear,socket,18,64,3.95
Linear,socket,18,128,6.17
Linear,socket,18,256,6.45
Linear,socket,18,512,6.82
Linear,socket,18,1024,8.63
Linear,socket,18,2048,10.47
Linear,socket,18,4096,14.04
Linear,socket,18,8192,20.13
Linear,socket,18,16384,18.00
Linear,socket,18,32768,28.67
Linear,socket,18,65536,53.50
