Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,20,32768,41.18
Default,core,20,65536,81.99
Default,core,20,131072,152.23
Default,core,20,262144,301.32
Default,core,20,524288,589.65
Default,core,20,1048576,900.79
Default,core,22,1,1.74
Default,core,22,2,1.75
Default,core,22,4,1.77
Default,core,22,8,1.76
Default,core,22,16,1.78
Default,core,22,32,2.03
Default,core,22,64,2.00
Default,core,22,128,3.35
Default,core,22,256,3.32
Default,core,22,512,3.51
Default,core,22,1024,4.26
Default,core,22,2048,5.38
Default,core,22,4096,6.69
Default,core,22,8192,9.85
Default,core,22,16384,23.06
Default,core,22,32768,40.56
Default,core,22,65536,74.47
Default,core,22,131072,140.65
Default,core,22,262144,280.16
Default,core,22,524288,559.89
Default,core,22,1048576,848.06
Default,core,24,1,1.79
Default,core,24,2,1.77
Default,core,24,4,1.79
Default,core,24,8,1.79
Default,core,24,16,1.79
Default,core,24,32,2.11
Default,core,24,64,2.08
Default,core,24,128,3.43
Default,core,24,256,3.38
Default,core,24,512,3.45
Default,core,24,1024,4.21
Default,core,24,2048,5.36
Default,core,24,4096,7.20
Default,core,24,8192,10.56
Default,core,24,16384,23.86
Default,core,24,32768,41.90
Default,core,24,65536,80.25
Default,core,24,131072,158.09
Default,core,24,262144,303.36
Default,core,24,524288,592.60
Default,core,24,1048576,856.79
Default,core,26,1,1.46
Default,core,26,2,1.47
Default,core,26,4,1.47
Default,core,26,8,1.45
Default,core,26,16,1.45
Default,core,26,32,1.84
Default,core,26,64,1.85
Default,core,26,128,2.76
Default,core,26,256,2.74
Default,core,26,512,2.94
Default,core,26,1024,3.77
Default,core,26,2048,4.98
Default,core,26,4096,7.01
Default,core,26,8192,10.49
Default,core,26,16384,24.00
Default,core,26,32768,41.79
Default,core,26,65536,78.58
Default,core,26,131072,152.37
Default,core,26,262144,299.46
Default,core,26,524288,589.97
Default,core,26,1048576,787.79
Default,core,28,1,1.38
Default,core,28,2,1.40
Default,core,28,4,1.40
Default,core,28,8,1.40
Default,core,28,16,1.40
Default,core,28,32,1.91
Default,core,28,64,1.82
Default,core,28,128,2.61
Default,core,28,256,2.69
Default,core,28,512,2.88
Default,core,28,1024,3.71
Default,core,28,2048,5.04
Default,core,28,4096,6.86
Default,core,28,8192,10.75
Default,core,28,16384,24.66
Default,core,28,32768,42.40
Default,core,28,65536,79.25
Default,core,28,131072,157.37
Default,core,28,262144,303.38
Default,core,28,524288,606.36
Default,core,28,1048576,769.11
Default,core,30,1,1.45
Default,core,30,2,1.42
Default,core,30,4,1.45
Default,core,30,8,1.42
Default,core,30,16,1.62
Default,core,30,32,1.93
Default,core,30,64,1.76
Default,core,30,128,2.50
Default,core,30,256,2.75
Default,core,30,512,2.98
Default,core,30,1024,3.74
Default,core,30,2048,5.01
Default,core,30,4096,7.28
Default,core,30,8192,11.08
Default,core,30,16384,25.03
Default,core,30,32768,43.73
Default,core,30,65536,76.88
Default,core,30,131072,144.26
Default,core,30,262144,292.50
Default,core,30,524288,588.09
Default,core,30,1048576,802.21
Default,core,32,1,2.12
Default,core,32,2,2.08
Default,core,32,4,2.09
Default,core,32,8,2.08
Default,core,32,16,2.13
Default,core,32,32,2.74
Default,core,32,64,2.59
Default,core,32,128,3.34
Default,core,32,256,3.57
Default,core,32,512,3.84
Default,core,32,1024,4.52
Default,core,32,2048,5.95
Default,core,32,4096,8.24
Default,core,32,8192,12.15
Default,core,32,16384,21.29
Default,core,32,32768,36.07
Default,core,32,65536,68.41
Default,core,32,131072,132.05
Default,core,32,262144,235.91
Default,core,32,524288,468.69
Default,core,32,1048576,874.60
Default,core,34,1,4.11
Default,core,34,2,3.97
Default,core,34,4,3.94
Default,core,34,8,4.17
Default,core,34,16,4.05
Default,core,34,32,4.38
Default,core,34,64,4.24
Default,core,34,128,5.14
Default,core,34,256,5.40
Default,core,34,512,5.69
Default,core,34,1024,6.41
Default,core,34,2048,8.21
Default,core,34,4096,10.81
Default,core,34,8192,15.00
Default,core,34,16384,20.40
Default,core,34,32768,30.37
Default,core,34,65536,53.19
Default,core,34,131072,130.35
Default,core,34,262144,252.73
Default,core,34,524288,502.31
Default,core,34,1048576,954.47
Default,core,36,1,3.73
Default,core,36,2,3.64
Default,core,36,4,3.68
Default,core,36,8,3.90
Default,core,36,16,4.06
Default,core,36,32,4.02
Default,core,36,64,4.00
Default,core,36,128,4.99
Default,core,36,256,5.30
Default,core,36,512,5.54
Default,core,36,1024,6.27
Default,core,36,2048,7.99
Default,core,36,4096,10.64
Default,core,36,8192,14.83
Default,core,36,16384,20.41
Default,core,36,32768,30.31
Default,core,36,65536,51.94
Default,core,36,131072,124.21
Default,core,36,262144,240.82
Default,core,36,524288,444.44
Default,core,36,1048576,784.86
Default,core,38,1,3.52
Default,core,38,2,3.42
Default,core,38,4,3.41
Default,core,38,8,3.62
Default,core,38,16,3.57
Default,core,38,32,3.78
Default,core,38,64,3.80
Default,core,38,128,4.59
Default,core,38,256,4.87
Default,core,38,512,5.10
Default,core,38,1024,5.72
Default,core,38,2048,7.72
Default,core,38,4096,10.24
Default,core,38,8192,14.55
Default,core,38,16384,20.37
Default,core,38,32768,31.42
Default,core,38,65536,53.92
Default,core,38,131072,125.42
Default,core,38,262144,243.12
Default,core,38,524288,469.06
Default,core,38,1048576,889.23
Default,core,40,1,3.52
Default,core,40,2,3.38
Default,core,40,4,3.54
Default,core,40,8,3.63
Default,core,40,16,3.55
Default,core,40,32,3.59
Default,core,40,64,3.78
Default,core,40,128,4.54
Default,core,40,256,4.80
Default,core,40,512,5.06
Default,core,40,1024,5.83
Default,core,40,2048,7.40
Default,core,40,4096,9.95
Default,core,40,8192,14.61
Default,core,40,16384,20.63
Default,core,40,32768,31.77
Default,core,40,65536,55.05
Default,core,40,131072,126.84
Default,core,40,262144,222.32
Default,core,40,524288,434.23
Default,core,40,1048576,802.38
Default,core,42,1,3.15
Default,core,42,2,3.07
Default,core,42,4,3.12
Default,core,42,8,3.05
Default,core,42,16,3.51
Default,core,42,32,3.39
Default,core,42,64,3.43
Default,core,42,128,4.30
Default,core,42,256,4.63
Default,core,42,512,4.84
Default,core,42,1024,5.57
Default,core,42,2048,7.16
Default,core,42,4096,10.09
Default,core,42,8192,14.62
Default,core,42,16384,21.67
Default,core,42,32768,33.95
Default,core,42,65536,57.99
Default,core,42,131072,129.40
Default,core,42,262144,252.69
Default,core,42,524288,496.71
Default,core,42,1048576,952.75
Default,core,44,1,3.12
Default,core,44,2,3.02
Default,core,44,4,3.06
Default,core,44,8,3.05
Default,core,44,16,3.02
Default,core,44,32,3.36
Default,core,44,64,3.41
Default,core,44,128,4.58
Default,core,44,256,4.59
Default,core,44,512,4.87
Default,core,44,1024,5.57
Default,core,44,2048,7.28
Default,core,44,4096,10.04
Default,core,44,8192,14.40
Default,core,44,16384,21.44
Default,core,44,32768,32.95
Default,core,44,65536,57.56
Default,core,44,131072,129.08
Default,core,44,262144,256.69
Default,core,44,524288,499.48
Default,core,44,1048576,938.94
Default,core,46,1,2.97
Default,core,46,2,2.83
Default,core,46,4,3.06
Default,core,46,8,3.16
Default,core,46,16,2.97
Default,core,46,32,3.14
Default,core,46,64,3.38
Default,core,46,128,4.12
Default,core,46,256,4.46
Default,core,46,512,4.73
Default,core,46,1024,5.61
Default,core,46,2048,7.31
Default,core,46,4096,10.05
Default,core,46,8192,14.60
Default,core,46,16384,21.31
Default,core,46,32768,33.44
Default,core,46,65536,59.51
Default,core,46,131072,130.92
Default,core,46,262144,261.29
Default,core,46,524288,496.59
Default,core,46,1048576,875.77
Default,core,48,1,3.05
Default,core,48,2,2.90
Default,core,48,4,3.25
Default,core,48,8,3.27
Default,core,48,16,3.08
Default,core,48,32,3.20
Default,core,48,64,3.44
Default,core,48,128,4.19
Default,core,48,256,4.60
Default,core,48,512,4.81
Default,core,48,1024,5.66
Default,core,48,2048,7.52
Default,core,48,4096,10.61
Default,core,48,8192,15.25
Default,core,48,16384,22.01
Default,core,48,32768,34.19
Default,core,48,65536,61.18
Default,core,48,131072,133.97
Default,core,48,262144,264.16
Default,core,48,524288,526.26
Default,core,48,1048576,964.28
Default,socket,2,1,0.43
Default,socket,2,2,0.41
Default,socket,2,4,0.39
Default,socket,2,8,0.38
Default,socket,2,16,0.37
Default,socket,2,32,0.52
Default,socket,2,64,0.50
Default,socket,2,128,0.77
Default,socket,2,256,0.82
Default,socket,2,512,0.88
Default,socket,2,1024,1.05
Default,socket,2,2048,1.29
Default,socket,2,4096,2.03
Default,socket,2,8192,3.25
Default,socket,2,16384,3.61
Default,socket,2,32768,5.82
Default,socket,2,65536,7.63
Default,socket,2,131072,10.32
Default,socket,2,262144,15.90
Default,socket,2,524288,28.56
Default,socket,2,1048576,59.16
Default,socket,4,1,0.56
Default,socket,4,2,0.56
Default,socket,4,4,0.55
Default,socket,4,8,0.56
Default,socket,4,16,0.52
Default,socket,4,32,0.77
Default,socket,4,64,0.76
Default,socket,4,128,1.11
Default,socket,4,256,1.15
Default,socket,4,512,1.32
Default,socket,4,1024,1.61
Default,socket,4,2048,2.47
Default,socket,4,4096,3.38
Default,socket,4,8192,6.07
Default,socket,4,16384,8.89
Default,socket,4,32768,13.96
Default,socket,4,65536,21.95
Default,socket,4,131072,38.73
Default,socket,4,262144,75.38
Default,socket,4,524288,149.89
Default,socket,4,1048576,488.45
Default,socket,6,1,0.83
Default,socket,6,2,0.82
Default,socket,6,4,0.79
Default,socket,6,8,0.80
Default,socket,6,16,0.79
Default,socket,6,32,0.95
Default,socket,6,64,0.91
Default,socket,6,128,1.51
Default,socket,6,256,1.56
Default,socket,6,512,1.73
Default,socket,6,1024,2.10
Default,socket,6,2048,3.03
Default,socket,6,4096,4.13
Default,socket,6,8192,7.99
Default,socket,6,16384,10.75
Default,socket,6,32768,18.21
Default,socket,6,65536,35.33
Default,socket,6,131072,69.30
Default,socket,6,262144,137.01
Default,socket,6,524288,279.74
Default,socket,6,1048576,987.82
Default,socket,8,1,0.89
Default,socket,8,2,0.88
Default,socket,8,4,0.88
Default,socket,8,8,0.93
Default,socket,8,16,0.91
Default,socket,8,32,1.30
Default,socket,8,64,1.08
Default,socket,8,128,1.85
Default,socket,8,256,1.90
Default,socket,8,512,2.08
Default,socket,8,1024,2.46
Default,socket,8,2048,3.39
Default,socket,8,4096,4.86
Default,socket,8,8192,7.40
Default,socket,8,16384,13.37
Default,socket,8,32768,23.04
Default,socket,8,65536,46.67
Default,socket,8,131072,95.03
Default,socket,8,262144,192.46
Default,socket,8,524288,390.64
Default,socket,8,1048576,646.61
Default,socket,10,1,1.17
Default,socket,10,2,1.09
Default,socket,10,4,1.08
Default,socket,10,8,1.16
Default,socket,10,16,1.16
Default,socket,10,32,1.46
Default,socket,10,64,1.25
Default,socket,10,128,2.01
Default,socket,10,256,2.09
Default,socket,10,512,2.27
Default,socket,10,1024,2.85
Default,socket,10,2048,3.76
Default,socket,10,4096,5.43
Default,socket,10,8192,8.24
Default,socket,10,16384,14.95
Default,socket,10,32768,27.10
Default,socket,10,65536,54.60
Default,socket,10,131072,110.64
Default,socket,10,262144,224.44
Default,socket,10,524288,456.99
Default,socket,10,1048576,758.57
Default,socket,12,1,1.20
Default,socket,12,2,1.08
Default,socket,12,4,1.04
Default,socket,12,8,1.15
Default,socket,12,16,1.14
Default,socket,12,32,1.42
Default,socket,12,64,1.22
Default,socket,12,128,2.00
Default,socket,12,256,2.06
Default,socket,12,512,2.23
Default,socket,12,1024,3.01
Default,socket,12,2048,3.84
Default,socket,12,4096,5.72
Default,socket,12,8192,8.57
Default,socket,12,16384,15.38
Default,socket,12,32768,31.57
Default,socket,12,65536,65.20
Default,socket,12,131072,132.47
Default,socket,12,262144,266.49
Default,socket,12,524288,535.05
Default,socket,12,1048576,924.78
Default,socket,14,1,0.97
Default,socket,14,2,0.99
Default,socket,14,4,0.99
Default,socket,14,8,1.15
Default,socket,14,16,1.16
Default,socket,14,32,1.49
Default,socket,14,64,1.22
Default,socket,14,128,2.05
Default,socket,14,256,2.11
Default,socket,14,512,2.29
Default,socket,14,1024,3.21
Default,socket,14,2048,3.85
Default,socket,14,4096,5.83
Default,socket,14,8192,8.81
Default,socket,14,16384,16.62
Default,socket,14,32768,36.08
Default,socket,14,65536,73.68
Default,socket,14,131072,149.18
Default,socket,14,262144,262.66
Default,socket,14,524288,511.05
Default,socket,14,1048576,1006.06
Default,socket,16,1,1.20
Default,socket,16,2,1.17
Default,socket,16,4,1.12
Default,socket,16,8,1.10
Default,socket,16,16,1.11
Default,socket,16,32,1.44
Default,socket,16,64,1.35
Default,socket,16,128,2.27
Default,socket,16,256,2.35
Default,socket,16,512,2.54
Default,socket,16,1024,3.23
Default,socket,16,2048,4.21
Default,socket,16,4096,5.76
Default,socket,16,8192,8.55
Default,socket,16,16384,18.03
Default,socket,16,32768,27.86
Default,socket,16,65536,50.22
Default,socket,16,131072,97.08
Default,socket,16,262144,193.31
Default,socket,16,524288,354.61
Default,socket,16,1048576,343.69
Default,socket,18,1,1.50
Default,socket,18,2,1.53
Default,socket,18,4,1.53
Default,socket,18,8,1.54
Default,socket,18,16,1.53
Default,socket,18,32,1.83
Default,socket,18,64,1.77
Default,socket,18,128,2.76
Default,socket,18,256,3.10
Default,socket,18,512,2.98
Default,socket,18,1024,3.61
Default,socket,18,2048,4.65
Default,socket,18,4096,6.39
Default,socket,18,8192,9.30
Default,socket,18,16384,19.10
Default,socket,18,32768,30.51
Default,socket,18,65536,56.04
Default,socket,18,131072,106.03
Default,socket,18,262144,201.32
Default,socket,18,524288,398.40
Default,socket,18,1048576,512.22
Default,socket,20,1,1.24
Default,socket,20,2,1.26
Default,socket,20,4,1.25
Default,socket,20,8,1.25
Default,socket,20,16,1.23
Default,socket,20,32,1.60
Default,socket,20,64,1.54
Default,socket,20,128,2.47
Default,socket,20,256,2.56
Default,socket,20,512,2.95
Default,socket,20,1024,3.39
