Algorithm,Allocation,Processes,MessageSize,Latency
Chain,core,11,2,0.94
Chain,core,11,4,0.93
Chain,core,11,8,0.94
Chain,core,11,16,0.93
Chain,core,11,32,1.07
Chain,core,11,64,1.04
Chain,core,11,128,1.40
Chain,core,11,256,1.45
Chain,core,11,512,1.52
Chain,core,11,1024,1.91
Chain,core,11,2048,2.44
Chain,core,11,4096,3.61
Chain,core,11,8192,5.36
Chain,core,11,16384,12.88
Chain,core,11,32768,20.18
Chain,core,11,65536,34.64
Chain,core,11,131072,62.79
Chain,core,11,262144,118.96
Chain,core,11,524288,229.30
Chain,core,11,1048576,416.13
Chain,core,12,1,0.89
Chain,core,12,2,0.90
Chain,core,12,4,0.89
Chain,core,12,8,0.90
Chain,core,12,16,0.89
Chain,core,12,32,1.04
Chain,core,12,64,1.01
Chain,core,12,128,1.41
Chain,core,12,256,1.44
Chain,core,12,512,1.51
Chain,core,12,1024,1.90
Chain,core,12,2048,2.46
Chain,core,12,4096,3.64
Chain,core,12,8192,5.75
Chain,core,12,16384,13.76
Chain,core,12,32768,21.60
Chain,core,12,65536,37.12
Chain,core,12,131072,67.50
Chain,core,12,262144,128.89
Chain,core,12,524288,251.14
Chain,core,12,1048576,498.79
Chain,core,13,1,1.00
Chain,core,13,2,0.99
Chain,core,13,4,0.96
Chain,core,13,8,0.98
Chain,core,13,16,0.96
Chain,core,13,32,1.14
Chain,core,13,64,1.07
Chain,core,13,128,1.56
Chain,core,13,256,1.60
Chain,core,13,512,1.69
Chain,core,13,1024,2.12
Chain,core,13,2048,2.99
Chain,core,13,4096,4.18
Chain,core,13,8192,6.35
Chain,core,13,16384,14.39
Chain,core,13,32768,23.65
Chain,core,13,65536,41.01
Chain,core,13,131072,75.22
Chain,core,13,262144,142.69
Chain,core,13,524288,279.98
Chain,core,13,1048576,547.29
Chain,core,14,1,0.88
Chain,core,14,2,0.85
Chain,core,14,4,0.84
Chain,core,14,8,0.84
Chain,core,14,16,0.84
Chain,core,14,32,1.03
Chain,core,14,64,0.98
Chain,core,14,128,1.51
Chain,core,14,256,1.58
Chain,core,14,512,1.67
Chain,core,14,1024,2.15
Chain,core,14,2048,3.04
Chain,core,14,4096,4.32
Chain,core,14,8192,6.64
Chain,core,14,16384,15.39
Chain,core,14,32768,24.40
Chain,core,14,65536,42.54
Chain,core,14,131072,79.08
Chain,core,14,262144,156.70
Chain,core,14,524288,312.62
Chain,core,14,1048576,547.49
Chain,core,15,1,0.96
Chain,core,15,2,0.96
Chain,core,15,4,0.93
Chain,core,15,8,0.94
Chain,core,15,16,0.95
Chain,core,15,32,1.17
Chain,core,15,64,1.12
Chain,core,15,128,1.65
Chain,core,15,256,1.67
Chain,core,15,512,1.80
Chain,core,15,1024,2.53
Chain,core,15,2048,3.16
Chain,core,15,4096,4.61
Chain,core,15,8192,7.11
Chain,core,15,16384,18.34
Chain,core,15,32768,29.54
Chain,core,15,65536,50.93
Chain,core,15,131072,93.81
Chain,core,15,262144,179.27
Chain,core,15,524288,351.08
Chain,core,15,1048576,677.58
Chain,core,16,1,1.27
Chain,core,16,2,1.23
Chain,core,16,4,1.20
Chain,core,16,8,1.20
Chain,core,16,16,1.20
Chain,core,16,32,1.45
Chain,core,16,64,1.42
Chain,core,16,128,2.14
Chain,core,16,256,2.22
Chain,core,16,512,2.37
Chain,core,16,1024,3.10
Chain,core,16,2048,3.72
Chain,core,16,4096,5.35
Chain,core,16,8192,8.04
Chain,core,16,16384,19.61
Chain,core,16,32768,30.88
Chain,core,16,65536,54.32
Chain,core,16,131072,100.93
Chain,core,16,262144,197.67
Chain,core,16,524288,378.81
Chain,core,16,1048576,711.08
Chain,core,17,1,2.38
Chain,core,17,2,2.38
Chain,core,17,4,2.42
Chain,core,17,8,2.39
Chain,core,17,16,2.36
Chain,core,17,32,2.59
Chain,core,17,64,2.56
Chain,core,17,128,3.08
Chain,core,17,256,3.56
Chain,core,17,512,3.21
Chain,core,17,1024,3.68
Chain,core,17,2048,4.45
Chain,core,17,4096,6.32
Chain,core,17,8192,9.03
Chain,core,17,16384,21.84
Chain,core,17,32768,33.55
Chain,core,17,65536,58.06
Chain,core,17,131072,105.14
Chain,core,17,262144,198.69
Chain,core,17,524288,394.11
Chain,core,17,1048576,712.96
