Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,11,2,0.89
Linear,core,11,4,0.85
Linear,core,11,8,0.89
Linear,core,11,16,0.93
Linear,core,11,32,1.15
Linear,core,11,64,1.33
Linear,core,11,128,1.47
Linear,core,11,256,1.70
Linear,core,11,512,2.00
Linear,core,11,1024,2.70
Linear,core,11,2048,4.02
Linear,core,11,4096,6.58
Linear,core,11,8192,10.09
Linear,core,11,16384,9.46
Linear,core,11,32768,18.10
Linear,core,11,65536,36.67
Linear,core,11,131072,47.01
Linear,core,11,262144,112.42
Linear,core,11,524288,145.83
Linear,core,11,1048576,682.31
Linear,core,12,1,0.86
Linear,core,12,2,0.86
Linear,core,12,4,0.86
Linear,core,12,8,0.93
Linear,core,12,16,0.94
Linear,core,12,32,1.15
Linear,core,12,64,1.29
Linear,core,12,128,1.46
Linear,core,12,256,1.66
Linear,core,12,512,2.06
Linear,core,12,1024,2.88
Linear,core,12,2048,4.40
Linear,core,12,4096,7.17
Linear,core,12,8192,11.22
Linear,core,12,16384,10.27
Linear,core,12,32768,17.91
Linear,core,12,65536,34.49
Linear,core,12,131072,70.90
Linear,core,12,262144,110.14
Linear,core,12,524288,184.25
Linear,core,12,1048576,754.80
Linear,core,13,1,1.01
Linear,core,13,2,1.01
Linear,core,13,4,0.96
Linear,core,13,8,0.99
Linear,core,13,16,1.03
Linear,core,13,32,1.18
Linear,core,13,64,1.35
Linear,core,13,128,1.63
Linear,core,13,256,1.81
Linear,core,13,512,2.25
Linear,core,13,1024,3.19
Linear,core,13,2048,5.17
Linear,core,13,4096,7.79
Linear,core,13,8192,12.78
Linear,core,13,16384,12.40
Linear,core,13,32768,23.14
Linear,core,13,65536,48.69
Linear,core,13,131072,99.98
Linear,core,13,262144,121.91
Linear,core,13,524288,157.23
Linear,core,13,1048576,823.01
Linear,core,14,1,0.80
Linear,core,14,2,0.80
Linear,core,14,4,0.82
Linear,core,14,8,0.82
Linear,core,14,16,0.95
Linear,core,14,32,1.05
Linear,core,14,64,1.30
Linear,core,14,128,1.52
Linear,core,14,256,1.77
Linear,core,14,512,2.30
Linear,core,14,1024,3.55
Linear,core,14,2048,5.50
Linear,core,14,4096,8.48
Linear,core,14,8192,14.43
Linear,core,14,16384,12.42
Linear,core,14,32768,20.05
Linear,core,14,65536,44.74
Linear,core,14,131072,102.85
Linear,core,14,262144,128.17
Linear,core,14,524288,156.31
Linear,core,14,1048576,938.51
Linear,core,15,1,0.81
Linear,core,15,2,0.81
Linear,core,15,4,0.80
Linear,core,15,8,0.84
Linear,core,15,16,1.02
Linear,core,15,32,1.23
Linear,core,15,64,1.44
Linear,core,15,128,1.63
Linear,core,15,256,1.93
Linear,core,15,512,2.68
Linear,core,15,1024,4.01
Linear,core,15,2048,6.36
Linear,core,15,4096,10.21
Linear,core,15,8192,17.23
Linear,core,15,16384,12.05
Linear,core,15,32768,23.19
Linear,core,15,65536,50.39
Linear,core,15,131072,118.99
Linear,core,15,262144,142.68
Linear,core,15,524288,155.31
Linear,core,15,1048576,1028.33
Linear,core,16,1,1.34
Linear,core,16,2,1.31
Linear,core,16,4,1.40
Linear,core,16,8,1.39
Linear,core,16,16,1.52
Linear,core,16,32,1.92
Linear,core,16,64,2.13
Linear,core,16,128,2.44
Linear,core,16,256,2.77
Linear,core,16,512,3.85
Linear,core,16,1024,5.11
Linear,core,16,2048,7.67
Linear,core,16,4096,11.94
Linear,core,16,8192,20.15
Linear,core,16,16384,21.68
Linear,core,16,32768,29.43
Linear,core,16,65536,41.36
Linear,core,16,131072,103.02
Linear,core,16,262144,132.54
Linear,core,16,524288,201.12
Linear,core,16,1048576,273.17
Linear,core,17,1,2.68
Linear,core,17,2,2.68
Linear,core,17,4,2.72
Linear,core,17,8,2.78
Linear,core,17,16,2.93
Linear,core,17,32,3.34
Linear,core,17,64,3.51
Linear,core,17,128,4.47
Linear,core,17,256,4.45
Linear,core,17,512,5.30
Linear,core,17,1024,7.05
Linear,core,17,2048,9.75
Linear,core,17,4096,14.26
Linear,core,17,8192,22.91
Linear,core,17,16384,23.68
Linear,core,17,32768,32.20
Linear,core,17,65536,65.44
Linear,core,17,131072,87.46
Linear,core,17,262144,175.09
Linear,core,17,524288,226.63
Linear,core,17,1048576,278.52
Linear,core,18,1,2.44
Linear,core,18,2,2.46
Linear,core,18,4,2.46
Linear,core,18,8,2.52
Linear,core,18,16,2.74
Linear,core,18,32,3.05
Linear,core,18,64,3.53
Linear,core,18,128,4.14
Linear,core,18,256,4.42
Linear,core,18,512,5.28
Linear,core,18,1024,7.16
Linear,core,18,2048,10.05
Linear,core,18,4096,15.03
Linear,core,18,8192,24.91
Linear,core,18,16384,27.19
Linear,core,18,32768,33.85
Linear,core,18,65536,74.08
Linear,core,18,131072,129.79
Linear,core,18,262144,147.93
Linear,core,18,524288,210.13
Linear,core,18,1048576,295.24
Linear,core,19,1,2.33
Linear,core,19,2,2.32
Linear,core,19,4,2.39
Linear,core,19,8,2.43
Linear,core,19,16,2.65
Linear,core,19,32,3.25
Linear,core,19,64,3.58
Linear,core,19,128,4.03
Linear,core,19,256,4.33
Linear,core,19,512,5.25
Linear,core,19,1024,6.96
Linear,core,19,2048,9.91
Linear,core,19,4096,15.73
Linear,core,19,8192,26.45
Linear,core,19,16384,28.48
Linear,core,19,32768,34.96
Linear,core,19,65536,72.83
Linear,core,19,131072,98.07
Linear,core,19,262144,199.09
Linear,core,19,524288,231.48
Linear,core,19,1048576,279.65
Linear,core,20,1,2.18
Linear,core,20,2,2.20
Linear,core,20,4,2.23
Linear,core,20,8,2.35
Linear,core,20,16,2.50
Linear,core,20,32,3.17
Linear,core,20,64,3.74
Linear,core,20,128,3.74
Linear,core,20,256,4.35
Linear,core,20,512,5.29
Linear,core,20,1024,7.17
Linear,core,20,2048,10.77
Linear,core,20,4096,17.03
Linear,core,20,8192,29.35
Linear,core,20,16384,32.24
Linear,core,20,32768,37.70
Linear,core,20,65536,46.87
Linear,core,20,131072,127.35
Linear,core,20,262144,224.35
Linear,core,20,524288,233.55
Linear,core,20,1048576,286.59
Linear,core,21,1,2.12
Linear,core,21,2,2.16
Linear,core,21,4,2.20
Linear,core,21,8,2.30
Linear,core,21,16,2.43
Linear,core,21,32,3.09
Linear,core,21,64,3.62
Linear,core,21,128,3.86
Linear,core,21,256,4.40
Linear,core,21,512,5.37
Linear,core,21,1024,7.31
Linear,core,21,2048,11.30
Linear,core,21,4096,17.76
Linear,core,21,8192,30.65
Linear,core,21,16384,33.49
Linear,core,21,32768,40.27
Linear,core,21,65536,92.02
