Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,11,32768,16.94
Default,core,11,65536,36.64
Default,core,11,131072,51.65
Default,core,11,262144,106.06
Default,core,11,524288,149.63
Default,core,11,1048576,765.88
Default,core,12,1,1.03
Default,core,12,2,0.93
Default,core,12,4,0.91
Default,core,12,8,0.94
Default,core,12,16,0.98
Default,core,12,32,1.13
Default,core,12,64,1.26
Default,core,12,128,1.46
Default,core,12,256,1.67
Default,core,12,512,2.05
Default,core,12,1024,2.89
Default,core,12,2048,4.42
Default,core,12,4096,7.34
Default,core,12,8192,11.57
Default,core,12,16384,10.04
Default,core,12,32768,18.04
Default,core,12,65536,39.39
Default,core,12,131072,81.64
Default,core,12,262144,104.03
Default,core,12,524288,159.03
Default,core,12,1048576,841.03
Default,core,13,1,0.94
Default,core,13,2,0.94
Default,core,13,4,0.93
Default,core,13,8,0.98
Default,core,13,16,1.03
Default,core,13,32,1.21
Default,core,13,64,1.35
Default,core,13,128,1.66
Default,core,13,256,1.85
Default,core,13,512,2.31
Default,core,13,1024,3.22
Default,core,13,2048,5.25
Default,core,13,4096,8.32
Default,core,13,8192,13.38
Default,core,13,16384,12.06
Default,core,13,32768,22.75
Default,core,13,65536,31.69
Default,core,13,131072,78.26
Default,core,13,262144,118.93
Default,core,13,524288,180.98
Default,core,13,1048576,948.85
Default,core,14,1,0.84
Default,core,14,2,0.83
Default,core,14,4,0.81
Default,core,14,8,0.85
Default,core,14,16,0.97
Default,core,14,32,1.12
Default,core,14,64,1.34
Default,core,14,128,1.59
Default,core,14,256,1.82
Default,core,14,512,2.41
Default,core,14,1024,3.67
Default,core,14,2048,5.64
Default,core,14,4096,8.66
Default,core,14,8192,14.71
Default,core,14,16384,12.77
Default,core,14,32768,24.17
Default,core,14,65536,33.28
Default,core,14,131072,79.08
Default,core,14,262144,115.85
Default,core,14,524288,182.83
Default,core,14,1048576,994.51
Default,core,15,1,0.80
Default,core,15,2,0.81
Default,core,15,4,0.80
Default,core,15,8,0.84
Default,core,15,16,0.95
Default,core,15,32,1.25
Default,core,15,64,1.39
Default,core,15,128,1.67
Default,core,15,256,1.92
Default,core,15,512,2.60
Default,core,15,1024,4.05
Default,core,15,2048,6.01
Default,core,15,4096,9.91
Default,core,15,8192,16.83
Default,core,15,16384,13.35
Default,core,15,32768,25.87
Default,core,15,65536,58.57
Default,core,15,131072,74.89
Default,core,15,262144,110.69
Default,core,15,524288,180.13
Default,core,15,1048576,1076.95
Default,core,16,1,1.25
Default,core,16,2,1.25
Default,core,16,4,1.29
Default,core,16,8,1.30
Default,core,16,16,1.51
Default,core,16,32,1.82
Default,core,16,64,2.05
Default,core,16,128,2.38
Default,core,16,256,2.76
Default,core,16,512,3.97
Default,core,16,1024,5.22
Default,core,16,2048,7.62
Default,core,16,4096,12.32
Default,core,16,8192,20.82
Default,core,16,16384,22.59
Default,core,16,32768,28.61
Default,core,16,65536,66.18
Default,core,16,131072,138.67
Default,core,16,262144,160.65
Default,core,16,524288,166.17
Default,core,16,1048576,296.71
Default,core,17,1,2.55
Default,core,17,2,2.55
Default,core,17,4,2.59
Default,core,17,8,2.69
Default,core,17,16,2.85
Default,core,17,32,3.25
Default,core,17,64,3.46
Default,core,17,128,4.48
Default,core,17,256,4.58
Default,core,17,512,5.28
Default,core,17,1024,6.97
Default,core,17,2048,9.65
Default,core,17,4096,14.24
Default,core,17,8192,22.96
Default,core,17,16384,23.74
Default,core,17,32768,32.65
Default,core,17,65536,72.55
Default,core,17,131072,120.02
Default,core,17,262144,146.52
Default,core,17,524288,166.33
Default,core,17,1048576,284.60
Default,core,18,1,2.51
Default,core,18,2,2.51
Default,core,18,4,2.56
Default,core,18,8,2.60
Default,core,18,16,2.82
Default,core,18,32,3.11
Default,core,18,64,3.55
Default,core,18,128,4.31
Default,core,18,256,4.56
Default,core,18,512,5.37
Default,core,18,1024,7.09
Default,core,18,2048,9.82
Default,core,18,4096,14.79
Default,core,18,8192,24.95
Default,core,18,16384,26.45
Default,core,18,32768,35.81
Default,core,18,65536,76.06
Default,core,18,131072,130.48
Default,core,18,262144,148.43
Default,core,18,524288,159.39
Default,core,18,1048576,280.94
Default,core,19,1,2.39
Default,core,19,2,2.40
Default,core,19,4,2.44
Default,core,19,8,2.52
Default,core,19,16,2.73
Default,core,19,32,3.37
Default,core,19,64,3.91
Default,core,19,128,3.98
Default,core,19,256,4.41
Default,core,19,512,5.37
Default,core,19,1024,7.04
Default,core,19,2048,9.96
Default,core,19,4096,15.82
Default,core,19,8192,26.69
Default,core,19,16384,28.71
Default,core,19,32768,34.52
Default,core,19,65536,62.61
Default,core,19,131072,102.02
Default,core,19,262144,123.73
Default,core,19,524288,174.83
Default,core,19,1048576,294.45
Default,core,20,1,2.37
Default,core,20,2,2.26
Default,core,20,4,2.32
Default,core,20,8,2.41
Default,core,20,16,2.61
Default,core,20,32,3.27
Default,core,20,64,4.12
Default,core,20,128,4.04
Default,core,20,256,4.53
Default,core,20,512,5.49
Default,core,20,1024,7.42
Default,core,20,2048,10.85
Default,core,20,4096,17.15
Default,core,20,8192,29.61
Default,core,20,16384,32.41
Default,core,20,32768,37.65
Default,core,20,65536,86.66
Default,core,20,131072,125.51
Default,core,20,262144,146.26
Default,core,20,524288,168.96
Default,core,20,1048576,278.84
Default,core,21,1,2.16
Default,core,21,2,2.15
Default,core,21,4,2.24
Default,core,21,8,2.39
Default,core,21,16,2.48
Default,core,21,32,3.11
Default,core,21,64,3.68
Default,core,21,128,3.90
Default,core,21,256,4.48
Default,core,21,512,5.40
Default,core,21,1024,7.38
Default,core,21,2048,11.66
Default,core,21,4096,18.37
Default,core,21,8192,31.80
Default,core,21,16384,34.60
Default,core,21,32768,38.26
Default,core,21,65536,63.26
Default,core,21,131072,113.71
Default,core,21,262144,126.38
