Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
default,200,7.68,0.45,29.03
default,201,10.35,0.87,36.09
default,202,8.30,0.53,24.61
default,203,8.20,0.57,24.58
default,204,8.48,0.42,26.12
default,205,8.46,0.38,25.30
default,206,8.59,0.39,25.03
default,207,8.83,0.33,26.21
default,208,11.34,0.49,37.61
default,209,11.80,0.33,37.95
default,210,13.98,0.29,36.83
default,211,11.02,0.34,37.25
default,212,10.27,0.83,28.21
default,213,9.94,0.42,27.31
default,214,10.08,0.49,28.01
default,215,10.21,0.49,27.60
default,216,17.34,0.69,40.79
default,217,10.51,0.77,27.28
default,218,10.67,0.61,28.96
default,219,10.83,0.62,27.25
default,220,10.64,0.58,32.75
default,221,10.77,0.60,27.20
default,222,22.12,1.18,56.95
default,223,9.81,0.67,26.67
default,224,8.24,0.27,27.24
default,225,10.31,0.42,38.74
default,226,8.93,0.35,27.84
default,227,9.26,0.37,32.21
default,228,9.71,0.25,28.91
default,229,9.84,0.39,28.28
default,230,10.13,0.24,29.95
default,231,10.49,0.23,35.33
default,232,11.96,0.48,36.79
default,233,10.48,0.42,30.72
default,234,10.21,0.21,31.08
default,235,11.31,0.39,33.89
default,236,16.10,0.34,38.78
default,237,11.38,0.33,33.46
default,238,10.80,0.25,30.65
default,239,9.88,0.36,29.10
default,240,16.54,0.36,49.43
default,241,11.96,0.27,34.04
default,242,13.04,0.26,74.62
default,243,12.41,0.30,35.12
default,244,13.03,0.36,34.23
default,245,12.95,0.30,34.49
default,246,12.42,0.31,33.10
default,247,12.60,0.28,31.62
default,248,13.19,0.21,32.48
default,249,12.60,0.31,32.92
default,250,13.50,0.26,33.46
default,251,12.96,0.54,33.75
default,252,14.78,0.30,34.35
default,253,14.29,0.27,34.11
default,254,15.80,0.22,43.72
default,255,17.65,0.28,50.57
default,256,1.00,0.45,2.08
