Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
standard,188,6.58,0.91,21.15
standard,189,6.07,0.87,16.21
standard,190,6.51,1.05,18.38
standard,191,6.22,0.48,19.16
standard,192,6.80,0.56,23.31
standard,193,6.89,0.73,21.71
standard,194,6.47,0.68,22.64
standard,195,6.84,0.64,22.06
standard,196,7.41,0.88,23.13
standard,197,7.52,0.69,22.50
standard,198,8.30,0.97,24.64
standard,199,7.90,0.89,28.66
standard,200,7.74,0.46,27.10
standard,201,8.26,0.82,24.83
standard,202,9.17,0.85,25.37
standard,203,8.88,0.54,25.74
standard,204,8.76,0.74,26.04
standard,205,9.28,0.71,26.75
standard,206,9.14,0.76,35.03
standard,207,9.80,0.75,27.44
standard,208,10.85,0.71,35.54
standard,209,10.34,0.51,27.61
standard,210,10.08,0.78,32.43
standard,211,10.32,0.93,26.32
standard,212,10.60,0.57,26.58
standard,213,10.97,0.52,29.20
standard,214,10.46,0.88,28.74
standard,215,13.50,0.96,38.52
standard,216,11.59,0.71,38.95
standard,217,11.10,1.15,27.77
standard,218,12.36,0.75,29.97
standard,219,11.22,0.94,28.59
standard,220,10.15,0.50,28.27
standard,221,10.81,0.86,27.65
standard,222,11.30,0.61,30.57
standard,223,10.01,0.39,31.33
standard,224,8.63,0.26,28.00
standard,225,9.42,0.50,27.67
standard,226,9.49,0.28,29.16
standard,227,12.18,0.39,41.89
standard,228,10.09,0.33,35.40
standard,229,10.17,0.28,39.23
standard,230,10.34,0.48,30.63
standard,231,10.72,0.26,31.94
standard,232,10.71,0.23,32.48
standard,233,10.82,0.50,30.87
standard,234,11.01,0.24,32.48
standard,235,11.52,0.36,34.47
standard,236,14.06,0.50,45.98
standard,237,12.00,0.42,35.78
standard,238,12.86,0.35,40.82
standard,239,12.59,0.69,43.13
standard,240,11.58,0.30,33.90
standard,241,14.06,0.64,45.35
standard,242,12.40,0.32,41.67
standard,243,12.94,0.20,36.08
standard,244,12.84,0.49,41.71
standard,245,13.03,0.37,35.39
standard,246,15.63,0.49,57.99
standard,247,13.97,0.23,50.05
standard,248,14.38,0.28,41.39
standard,249,14.45,0.19,36.40
standard,250,15.47,0.47,37.02
standard,251,15.44,0.27,36.89
standard,252,15.51,0.45,46.65
standard,253,31.22,1.09,61.55
standard,254,16.32,0.35,37.81
standard,255,16.35,0.38,39.41
standard,256,1.26,0.69,2.41
