Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
chain,188,13.74,1.27,27.23
chain,189,14.80,1.23,27.76
chain,190,13.70,1.14,26.19
chain,191,14.15,1.22,29.23
chain,192,14.58,1.23,28.58
chain,193,13.90,1.15,30.03
chain,194,13.86,1.20,29.22
chain,195,14.09,0.97,29.28
chain,196,15.28,1.23,33.54
chain,197,14.94,1.20,32.69
chain,198,15.46,1.13,33.38
chain,199,14.85,0.93,31.73
chain,200,15.03,1.25,31.23
chain,201,14.89,1.16,30.01
chain,202,14.68,1.26,31.12
chain,203,14.67,0.89,30.59
chain,204,15.50,1.12,31.99
chain,205,14.71,1.12,30.48
chain,206,15.26,1.13,30.24
chain,207,14.96,1.09,30.08
chain,208,16.03,1.14,30.79
chain,209,14.91,1.12,30.24
chain,210,15.87,1.13,34.34
chain,211,16.31,1.03,32.41
chain,212,17.08,1.14,34.19
chain,213,16.30,1.13,32.19
chain,214,16.07,1.18,32.82
chain,215,16.26,1.10,32.43
chain,216,17.41,1.16,32.92
chain,217,16.42,1.12,30.50
chain,218,16.98,1.14,32.42
chain,219,18.43,1.09,33.10
chain,220,19.67,1.17,35.35
chain,221,18.96,1.13,34.17
chain,222,19.16,1.18,34.44
chain,223,19.87,1.17,35.45
chain,224,17.98,1.15,34.20
chain,225,17.89,1.14,35.01
chain,226,18.09,0.96,35.55
chain,227,19.46,1.08,38.48
chain,228,18.68,1.13,37.27
chain,229,18.89,1.07,37.66
chain,230,16.89,1.19,34.98
chain,231,19.68,1.13,37.71
chain,232,19.28,1.15,36.78
chain,233,19.11,1.13,36.51
chain,234,18.76,1.17,36.08
chain,235,19.58,1.10,37.12
chain,236,20.16,1.16,37.84
chain,237,19.94,1.12,37.42
chain,238,19.23,1.18,37.43
chain,239,20.96,1.18,37.87
chain,240,21.77,1.17,38.53
chain,241,20.52,1.15,38.22
chain,242,20.08,1.09,38.90
chain,243,21.13,1.12,39.53
chain,244,21.37,1.16,39.72
chain,245,21.48,1.14,40.35
chain,246,22.11,1.18,40.46
chain,247,33.70,1.16,57.22
chain,248,23.68,1.21,42.18
chain,249,22.82,1.17,41.34
chain,250,22.17,1.09,41.46
chain,251,23.31,1.08,41.65
chain,252,23.21,1.05,43.32
chain,253,22.63,1.06,42.68
chain,254,22.65,0.94,45.16
chain,255,20.52,0.87,40.97
chain,256,7.48,0.19,17.13
